[00:00:01.260 --> 00:00:01.900]  In
[00:00:01.900 --> 00:00:02.220]  the
[00:00:02.220 --> 00:00:02.440]  second
[00:00:02.440 --> 00:00:02.740]  unit
[00:00:02.740 --> 00:00:02.880]  we
[00:00:02.880 --> 00:00:03.040]  are
[00:00:03.040 --> 00:00:03.140]  going
[00:00:03.140 --> 00:00:03.240]  to
[00:00:03.240 --> 00:00:03.540]  discuss
[00:00:03.540 --> 00:00:03.760]  the
[00:00:03.760 --> 00:00:04.120]  geometric
[00:00:04.120 --> 00:00:04.600]  image
[00:00:04.600 --> 00:00:05.120]  formation
[00:00:05.120 --> 00:00:05.600]  process
[00:00:05.600 --> 00:00:05.920]  and
[00:00:05.920 --> 00:00:06.180]  basic
[00:00:06.180 --> 00:00:06.520]  camera
[00:00:06.520 --> 00:00:07.200]  models.
[00:00:07.820 --> 00:00:07.900]  We're
[00:00:07.900 --> 00:00:08.080]  going
[00:00:08.080 --> 00:00:08.340]  to
[00:00:08.340 --> 00:00:08.740]  see
[00:00:08.740 --> 00:00:09.200]  how
[00:00:09.200 --> 00:00:09.700]  points
[00:00:09.700 --> 00:00:10.240]  in
[00:00:10.240 --> 00:00:10.620]  3D
[00:00:10.620 --> 00:00:11.040]  space
[00:00:11.040 --> 00:00:11.340]  are
[00:00:11.340 --> 00:00:11.680]  related
[00:00:11.680 --> 00:00:11.960]  to
[00:00:11.960 --> 00:00:12.280]  points
[00:00:12.280 --> 00:00:12.700]  on
[00:00:12.700 --> 00:00:12.820]  the
[00:00:12.820 --> 00:00:13.160]  2D
[00:00:13.160 --> 00:00:13.540]  image
[00:00:13.540 --> 00:00:14.140]  plane.
[00:00:16.580 --> 00:00:16.920]  The
[00:00:16.920 --> 00:00:17.400]  principle
[00:00:17.400 --> 00:00:19.140]  of
[00:00:19.140 --> 00:00:19.740]  projection
[00:00:19.740 --> 00:00:21.920]  is
[00:00:21.920 --> 00:00:22.080]  an
[00:00:22.080 --> 00:00:22.180]  old
[00:00:22.180 --> 00:00:22.540]  one
[00:00:22.540 --> 00:00:22.780]  and
[00:00:22.780 --> 00:00:23.000]  as
[00:00:23.000 --> 00:00:23.080]  an
[00:00:23.080 --> 00:00:23.360]  example
[00:00:23.360 --> 00:00:23.560]  we
[00:00:23.560 --> 00:00:23.720]  can
[00:00:23.720 --> 00:00:23.980]  take
[00:00:23.980 --> 00:00:24.200]  for
[00:00:24.200 --> 00:00:24.380]  instance
[00:00:24.380 --> 00:00:24.580]  the
[00:00:24.580 --> 00:00:24.740]  human
[00:00:24.740 --> 00:00:25.020]  eye
[00:00:25.020 --> 00:00:25.800]  where
[00:00:25.800 --> 00:00:26.300]  light
[00:00:26.300 --> 00:00:26.940]  is
[00:00:26.940 --> 00:00:27.320]  passing
[00:00:27.320 --> 00:00:27.720]  through
[00:00:27.720 --> 00:00:27.920]  a
[00:00:27.920 --> 00:00:28.220]  lens
[00:00:28.220 --> 00:00:28.500]  and
[00:00:28.500 --> 00:00:28.820]  an
[00:00:28.820 --> 00:00:29.220]  aperture.
[00:00:29.220 --> 00:00:30.480]  and
[00:00:30.480 --> 00:00:30.960]  is
[00:00:30.960 --> 00:00:31.180]  then
[00:00:31.180 --> 00:00:31.500]  collected
[00:00:31.500 --> 00:00:31.880]  by
[00:00:31.880 --> 00:00:32.680]  photoreceptors
[00:00:32.680 --> 00:00:32.960]  on
[00:00:32.960 --> 00:00:33.100]  the
[00:00:33.100 --> 00:00:33.660]  retina,
[00:00:35.040 --> 00:00:35.040]  and
[00:00:35.040 --> 00:00:35.740]  the
[00:00:35.740 --> 00:00:36.060]  same
[00:00:36.060 --> 00:00:36.400]  principle
[00:00:36.400 --> 00:00:36.740]  holds
[00:00:36.740 --> 00:00:37.220]  true
[00:00:37.220 --> 00:00:38.040]  for
[00:00:38.040 --> 00:00:38.280]  the
[00:00:38.280 --> 00:00:38.740]  first
[00:00:38.740 --> 00:00:39.180]  camera
[00:00:39.180 --> 00:00:39.760]  obscura,
[00:00:40.020 --> 00:00:40.020]  which
[00:00:40.020 --> 00:00:40.540]  is
[00:00:40.540 --> 00:00:41.000]  collecting
[00:00:41.000 --> 00:00:41.520]  light
[00:00:41.520 --> 00:00:41.980]  through
[00:00:41.980 --> 00:00:42.140]  a
[00:00:42.140 --> 00:00:42.680]  little
[00:00:42.680 --> 00:00:42.940]  tiny
[00:00:42.940 --> 00:00:43.300]  hole
[00:00:43.300 --> 00:00:44.000]  that's
[00:00:44.000 --> 00:00:44.180]  made
[00:00:44.180 --> 00:00:44.400]  into
[00:00:44.400 --> 00:00:44.700]  the
[00:00:44.700 --> 00:00:44.800]  wall
[00:00:44.800 --> 00:00:45.120]  of
[00:00:45.120 --> 00:00:45.340]  an
[00:00:45.340 --> 00:00:45.600]  otherwise
[00:00:45.600 --> 00:00:46.020]  entirely
[00:00:46.020 --> 00:00:46.400]  dark
[00:00:46.400 --> 00:00:47.160]  room,
[00:00:47.380 --> 00:00:47.700]  and
[00:00:47.700 --> 00:00:47.860]  that
[00:00:47.860 --> 00:00:48.120]  gives
[00:00:48.120 --> 00:00:48.480]  rise
[00:00:48.480 --> 00:00:48.880]  to
[00:00:48.880 --> 00:00:49.040]  an
[00:00:49.040 --> 00:00:49.200]  image
[00:00:49.200 --> 00:00:49.460]  on
[00:00:49.460 --> 00:00:49.720]  the
[00:00:49.720 --> 00:00:49.980]  upper
[00:00:49.980 --> 00:00:50.720]  wall,
[00:00:51.120 --> 00:00:51.600]  and
[00:00:51.600 --> 00:00:52.220]  then
[00:00:52.220 --> 00:00:52.360]  all
[00:00:52.360 --> 00:00:52.540]  the
[00:00:52.540 --> 00:00:52.840]  way
[00:00:52.840 --> 00:00:53.380]  until
[00:00:53.380 --> 00:00:54.540]  photographic,
[00:00:54.540 --> 00:00:54.680]  the
[00:00:54.680 --> 00:00:55.220]  photographic
[00:00:55.220 --> 00:00:55.700]  camera
[00:00:55.700 --> 00:00:56.260]  has
[00:00:56.260 --> 00:00:56.440]  come
[00:00:56.440 --> 00:00:56.660]  to
[00:00:56.660 --> 00:00:57.080]  life.
[00:00:57.080 --> 00:00:58.960]  So
[00:00:58.960 --> 00:00:59.200]  here's
[00:00:59.200 --> 00:00:59.300]  an
[00:00:59.300 --> 00:00:59.600]  example
[00:00:59.600 --> 00:00:59.760]  of
[00:00:59.760 --> 00:00:59.940]  the
[00:00:59.940 --> 00:01:00.140]  camera
[00:01:00.140 --> 00:01:00.700]  obscura
[00:01:00.700 --> 00:01:01.780]  where
[00:01:01.780 --> 00:01:02.340]  an
[00:01:02.340 --> 00:01:02.620]  entirely
[00:01:02.620 --> 00:01:03.020]  dark
[00:01:03.020 --> 00:01:03.420]  room
[00:01:03.420 --> 00:01:03.900]  is
[00:01:03.900 --> 00:01:04.400]  illuminated
[00:01:04.400 --> 00:01:05.180]  by
[00:01:05.180 --> 00:01:05.500]  the
[00:01:05.500 --> 00:01:05.800]  light
[00:01:05.800 --> 00:01:06.280]  that
[00:01:06.280 --> 00:01:06.500]  is
[00:01:06.500 --> 00:01:06.920]  passing
[00:01:06.920 --> 00:01:07.420]  through
